X,Graphic Profile 1
0,522.3523
28.76309467,525.6791
57.52618935,527.2646
86.28928402,524.8312
115.0523787,519.324
143.8154734,513.8375
172.578568,509.6632
201.3416627,505.341
230.1047574,499.2302
258.8678521,490.2978
287.6309467,481.0188
316.3940414,472.3962
345.1571361,462.8484
373.9202308,454.3054
402.6833254,446.6413
431.4464201,440.001
460.2095148,430.348
488.9726095,418.595
517.7357041,410.4852
546.4987988,408.0468
575.2618935,412.3083
604.0249882,416.4616
632.7880828,418.7869
661.5511775,420.6749
690.3142722,424.4645
719.0773668,429.7463
747.8404615,434.2158
776.6035562,438.8537
805.3666509,444.4018
834.1297455,453.1751
862.8928402,465.5643
891.6559349,477.5077
920.4190296,481.9365
949.1821242,484.714
977.9452189,486.0974
1006.708314,486.0626
1035.471408,486.2735
1064.234503,488.1232
1092.997598,490.3294
1121.760692,491.7677
