X,Graphic Profile 1
0,164.5908
29.04606934,170.8771
58.09213868,164.1381
87.13820801,149.0799
116.1842773,131.9967
145.2303467,113.3954
174.276416,99.9289
203.3224854,95.0164
232.3685547,96.1068
261.414624,104.9445
290.4606934,108.1081
319.5067627,110.4513
348.552832,111.3683
377.5989014,109.6122
406.6449707,109.3027
435.6910401,110.2546
464.7371094,111.2794
493.7831787,110.4078
522.8292481,117.1201
551.8753174,132.4779
580.9213867,149.7947
609.9674561,170.4593
639.0135254,188.7819
668.0595948,195.6384
697.1056641,190.9533
726.1517334,186.0902
755.1978028,187.5313
