Delta,"area < 2 m above
sea level (km2) ",storm-surge area (km2 )*,recent area of river flooding (km^2),recent area of in situ flooding (km^2),sediment reduction (%),floodplain or delta flow diversion,Distributary channel redution (%),"subsurface water, oil and gas mining ",Early-twentieth-century aggradation rate (mm/yr),Twenty-first-century aggradation rate (mm/yr),Relative sea-level rise (mm/yr),Min Relative sea-level rise (mm/yr),Max Relative sea-level rise (mm/yr),risk level,Max Relative sea-level rise (mm/yr)
"Amazon, Brazil",1960,0,0,9340,0,No,0,none,0.4,0.4,,,,0,
"Congo, DRC",460,0,0,0,20,No,0,none,0.2,0.2,,,,0,
"Fly, Papua New Guinea",70,0,140,280,0,No,0,none,5,5,0.5,0.5,0.50,0,0.50
"Orinoco, Venezuela",1800,0,3560,3600,0,No,0,none,1.3,1.3,0.8-3,0.8,3.00,0,3.00
"Mahaka, Borneo",300,0,0,370,0,No,,none,0.2,0.2,,,,0,
"Amur, Russia",1250,0,0,0,0,No,0,none,2,1.1,1,1,1.00,1,1.00
"Danube, Romania",3670,1050,2100,840,63,yes,0,minor,3,1,1.2,1.2,1.20,1,1.20
"Han, Korea",70,60,60,0,27,no,0,none,3,2,0.6,0.6,0.60,1,0.60
"Limpopo, Mozambique",150,120,200,0,30,no,0,none,7,5,0.3,0.3,0.30,1,0.30
"Brahmani, India",640,1100,3380,1580,50,yes,0,major,2,1,1.3,1.3,1.30,2,1.30
"Godavaria, India",170,660,220,1100,40,yes,0,major,7,2,~3,3,3.00,2,3.00
"Indus, Pakistan",4750,3390,680,1700,80,yes,80,minor,8,1,>1.1,1.1,,2,
"Mahanadi, india",150,1480,2060,1770,74,yes,40,moderate,2,0.3,1.3,1.3,1.30,2,1.30
"Parana, Argentina",3600,0,5190,2600,60,no,,,2,0.5,2-3,2,3,2,3
"Vistula, Poland",1490,0,200,0,20,yes,75,,1.1,0,1.8,1.8,1.80,2,1.80
"Ganges, Bandladesh",6170,10500,52800,42300,30,yes,37,major,3,2,8-18,8,18,3,18
"Irrawaddy, Myanmar",1100,15000,7600,6100,30,no,20,moderate,2,1.4,3.4-6,3.4,6,3,6
"Magdalena, Colombia",790,1120,750,750,0,yes,70,moderate,6,3,5.3-6.6,5.3,6.6,3,6.6
"Mekong, Vietnam",20900,9800,36750,17100,12,no,0,moderate,0.4,0.4,6,6,6,3,6
"Mississippi, USA",7140,13500,0,11600,48,yes,,major,2,0.3,5-25,5,25,3,25
"Niger, Nigeria",350,1700,2570,3400,50,no,30,major,0.6,0.3,7-32,7,32,3,32
"Tigris, Iraq",9700,1730,770,960,50,yes,38,major,4,2,4-5,4,5,3,5
"Chao Phraya, Thailand",1780,800,4000,1600,85,yes,30,major,0.2,0,13-150,13,150,4,150
"Colorado, Mexico",700,0,0,0,100,yes,0,major,34,0,2-5,2,5,4,5
"krishna, India",250,840,1160,740,94,yes,0,major,7,0.4,~3,3,3,4,3
"Nile, Egypt",9440,0,0,0,98,yes,75,moderate,1.3,0,4.8,4.8,4.8,4,4.8
"Pearl, China",3720,1040,2600,520,67,yes,0,major,3,0.5,7.5,7.5,7.5,4,7.5
"Po, Italy",630,0,0,320,50,no,40,minor,3,0,4-60,4,60,4,60
"Rhone, France",1140,0,920,0,30,no,40,minor,7,1,2-6,2,6,4,6
"Sao Francisco, Brazil",80,0,0,0,70,yes,0,major,2,0.2,3-10,3,10,4,10
"Tone, Japan",410,220,0,160,30,yes,,major,4,0,>10,10,,4,
"Yangtze, China",7080,6700,3300,6670,70,yes,0,major,1.1,0,3-28,3,28,4,28
"Yellow, China",3420,1430,0,0,90,yes,80,major,49,0,8-23,8,23,4,23
